,subject,trial_num,letter,frequency,r,g,b,PBASE,ITI,match,button,correct,RT,block,pupil_feed_locked_t1,pupil_baseline_feed_locked,missing,drop_trial
95,147,95,A,80,138,154,91,4.7100000000000000,4.2999999999999998,0,ralt,True,0.5353744300000000,2.0000000000000000,-1.0018980992613853,-0.4385988477513694,False,False
96,147,96,A,80,3,121,112,4.2800000000000002,4.5199999999999996,0,ralt,True,0.4883441800000000,2.0000000000000000,8.3095694714689028,-2.2526207602368649,False,False
97,147,97,D,20,75,124,89,4.0300000000000002,4.5199999999999996,0,ralt,True,1.1074299299999999,2.0000000000000000,-1.7423574080447699,-5.9094846272552237,False,False
98,147,98,A,80,75,124,89,3.5600000000000001,5.2000000000000002,1,lalt,True,0.6644922500000000,2.0000000000000000,4.8692577514760593,0.1683831831516099,False,False
99,147,99,R,40,0,168,107,4.1799999999999997,4.2500000000000000,1,lalt,True,0.7825307300000000,2.0000000000000000,3.7761628517237407,4.3310651297434495,False,False
100,147,100,I,40,138,154,91,5.2999999999999998,3.7799999999999998,1,lalt,True,1.2005710400000000,2.0000000000000000,4.8640057457750911,-2.3139883943716768,False,False
101,147,101,D,20,138,154,91,4.4400000000000004,4.9600000000000000,0,ralt,True,0.5105957900000000,2.0000000000000000,-0.7482572553787538,3.1177056585823002,False,False
102,147,102,T,20,3,121,112,5.1500000000000004,4.1299999999999999,0,ralt,True,1.3535311999999999,2.0000000000000000,6.0192262381959294,-7.2423886763864047,False,False
103,147,103,R,40,76,154,68,3.9399999999999999,5.2100000000000000,0,lalt,False,1.4494795300000001,2.0000000000000000,8.0600599448658432,23.1579966423494668,False,False
104,147,104,D,20,3,121,112,5.1399999999999997,4.8200000000000003,1,lalt,True,1.0874623200000000,2.0000000000000000,0.7976143333220607,1.9570899152865224,False,False
105,147,105,R,40,0,168,107,3.7300000000000000,3.6299999999999999,1,lalt,True,0.7923896900000000,2.0000000000000000,3.7834109657918655,-11.7345121123591003,False,False
106,147,106,R,40,138,154,91,4.0800000000000001,5.3300000000000001,0,ralt,True,0.4135805000000000,2.0000000000000000,7.7312879489463828,12.2952417296014680,False,False
107,147,107,A,80,75,124,89,3.8100000000000001,3.7000000000000002,1,lalt,True,0.7345675200000000,2.0000000000000000,-4.8563164352603767,3.6303697779126600,False,False
108,147,108,I,40,3,121,112,5.4900000000000002,4.9199999999999999,0,ralt,True,1.5686779099999999,2.0000000000000000,-8.8410472159663023,-11.4293799528210887,False,False
109,147,109,D,20,76,154,68,4.1900000000000004,4.5400000000000000,0,ralt,True,1.2305213500000001,2.0000000000000000,-2.9733726324812362,9.1936441825590300,False,False
